# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00503 |  6.407e+001  | Detector |
 00504 |  6.290e+001  | Detector |
 00505 |  1.039e+002  | Detector |
 00506 |  1.304e+002  | Detector |
 00507 |  9.843e+001  | Detector |
 00508 |  9.768e+001  | Detector |
 00509 |  9.805e+001  | Detector |
 00510 |  9.822e+001  | Detector |
 00511 |  9.818e+001  | Detector |
 00512 |  9.838e+001  | Detector |
 00513 |  9.800e+001  | Detector |
 00514 |  9.816e+001  | Detector |
 00515 |  9.811e+001  | Detector |
 00516 |  9.801e+001  | Detector |
 00517 |  9.790e+001  | Detector |
 00518 |  9.760e+001  | Detector |
 00519 |  9.735e+001  | Detector |
 00520 |  9.680e+001  | Detector |
 00521 |  9.547e+001  | Detector |
 00522 |  9.375e+001  | Detector |
 00523 |  9.047e+001  | Detector |
 00524 |  8.488e+001  | Detector |
 00525 |  8.307e+001  | Detector |
 00526 |  1.088e+002  | Detector |
 00527 |  1.333e+002  | Detector |
 00528 |  1.005e+002  | Detector |
 00529 |  9.822e+001  | Detector |
 00530 |  9.713e+001  | Detector |
 00531 |  9.715e+001  | Detector |
 00532 |  9.699e+001  | Detector |
 00533 |  9.673e+001  | Detector |
 00534 |  9.672e+001  | Detector |
 00535 |  9.642e+001  | Detector |
 00536 |  9.670e+001  | Detector |
 00537 |  9.640e+001  | Detector |
 00538 |  9.633e+001  | Detector |
 00539 |  9.621e+001  | Detector |
 00540 |  9.596e+001  | Detector |
 00541 |  9.532e+001  | Detector |
 00542 |  9.420e+001  | Detector |
 00543 |  9.349e+001  | Detector |
 00544 |  9.191e+001  | Detector |
 00545 |  8.980e+001  | Detector |
 00546 |  8.899e+001  | Detector |
 00547 |  1.102e+002  | Detector |
 00548 |  1.344e+002  | Detector |
 00549 |  1.014e+002  | Detector |
 00550 |  9.828e+001  | Detector |
 00551 |  9.705e+001  | Detector |
 00552 |  9.680e+001  | Detector |
 00553 |  9.635e+001  | Detector |
 00554 |  9.553e+001  | Detector |
 00555 |  9.576e+001  | Detector |
 00556 |  9.504e+001  | Detector |
 00557 |  9.564e+001  | Detector |
 00558 |  9.524e+001  | Detector |
 00559 |  9.565e+001  | Detector |
 00560 |  9.498e+001  | Detector |
 00561 |  9.482e+001  | Detector |
 00562 |  9.459e+001  | Detector |
 00563 |  9.376e+001  | Detector |
 00564 |  9.336e+001  | Detector |
 00565 |  9.257e+001  | Detector |
 00566 |  9.143e+001  | Detector |
 00567 |  9.133e+001  | Detector |
 00568 |  1.109e+002  | Detector |
 00569 |  1.349e+002  | Detector |
 00570 |  1.016e+002  | Detector |
 00571 |  9.829e+001  | Detector |
 00572 |  9.719e+001  | Detector |
 00573 |  9.603e+001  | Detector |
 00574 |  9.613e+001  | Detector |
 00575 |  9.509e+001  | Detector |
 00576 |  9.497e+001  | Detector |
 00577 |  9.491e+001  | Detector |
 00578 |  9.480e+001  | Detector |
 00579 |  9.510e+001  | Detector |
 00580 |  9.489e+001  | Detector |
 00581 |  9.440e+001  | Detector |
 00582 |  9.476e+001  | Detector |
 00583 |  9.413e+001  | Detector |
 00584 |  9.399e+001  | Detector |
 00585 |  9.328e+001  | Detector |
 00586 |  9.281e+001  | Detector |
 00587 |  9.221e+001  | Detector |
 00588 |  9.226e+001  | Detector |
 00589 |  1.109e+002  | Detector |
 00590 |  1.352e+002  | Detector |
 00591 |  1.017e+002  | Detector |
 00592 |  9.837e+001  | Detector |
 00593 |  9.699e+001  | Detector |
 00594 |  9.571e+001  | Detector |
 00595 |  9.507e+001  | Detector |
 00596 |  9.458e+001  | Detector |
 00597 |  9.427e+001  | Detector |
 00598 |  9.447e+001  | Detector |
 00599 |  9.387e+001  | Detector |
 00600 |  9.427e+001  | Detector |
 00601 |  9.387e+001  | Detector |
 00602 |  9.426e+001  | Detector |
 00603 |  9.373e+001  | Detector |
 00604 |  9.351e+001  | Detector |
 00605 |  9.379e+001  | Detector |
 00606 |  9.335e+001  | Detector |
 00607 |  9.300e+001  | Detector |
 00608 |  9.279e+001  | Detector |
 00609 |  9.301e+001  | Detector |
 00610 |  1.110e+002  | Detector |
 00611 |  1.350e+002  | Detector |
 00612 |  1.015e+002  | Detector |
 00613 |  9.830e+001  | Detector |
 00614 |  9.663e+001  | Detector |
 00615 |  9.595e+001  | Detector |
 00616 |  9.518e+001  | Detector |
 00617 |  9.417e+001  | Detector |
 00618 |  9.391e+001  | Detector |
 00619 |  9.367e+001  | Detector |
 00620 |  9.408e+001  | Detector |
 00621 |  9.348e+001  | Detector |
